#time[sec] output_ch0 output_ch1
8.600000000000000246e-07 9.701683133920580016e-01 -1.656048330114465866e-02
8.700000000000000347e-07 9.812086355928211212e-01 -1.380040275095388395e-02
8.800000000000000449e-07 9.853487564181073743e-01 -1.242036247585849573e-02
8.900000000000000550e-07 1.003289279994347361e+00 2.760080550190776444e-03
9.000000000000000652e-07 1.025369924395873378e+00 1.794052357624004862e-02
9.099999999999999694e-07 1.035030206321541080e+00 2.346068467662160151e-02
9.199999999999999795e-07 1.041930407697018168e+00 3.174092632719393431e-02
9.299999999999999897e-07 1.048830609072495257e+00 4.278124852795703315e-02
9.399999999999999998e-07 1.052970729897781288e+00 5.520161100381553582e-02
9.500000000000000100e-07 1.070911253474021274e+00 8.004233595553252034e-02
9.600000000000001260e-07 1.059870931273258154e+00 7.866229568043713039e-02
9.700000000000000302e-07 1.037790286871732137e+00 6.762197347967402461e-02
9.799999999999999345e-07 1.028130004946064213e+00 6.072177210419708177e-02
9.900000000000000505e-07 1.008809441094728809e+00 4.830140962833859297e-02
9.999999999999999547e-07 9.756884744924395614e-01 3.174092632719393431e-02
1.010000000000000071e-06 8.307842456074236992e-01 1.380040275095388395e-02
1.019999999999999975e-06 5.975574391163031018e-01 -1.242036247585849573e-02
1.030000000000000091e-06 4.416128880305242865e-01 -4.002116797776626017e-02
1.039999999999999995e-06 3.422499882236562652e-01 -4.140120825286165013e-02
1.050000000000000111e-06 2.553074508926468367e-01 -8.280241650572329332e-03
1.060000000000000016e-06 1.890655176880682020e-01 3.312096660228931733e-02
1.069999999999999920e-06 1.656048330114466005e-01 5.382157072872014586e-02
1.080000000000000036e-06 1.642247927363512106e-01 5.244153045362475590e-02
1.089999999999999940e-06 1.504243899853973110e-01 4.692136935324320302e-02
1.100000000000000056e-06 1.173034233831079937e-01 5.520161100381553582e-02
1.109999999999999960e-06 6.210181237929247172e-02 5.382157072872014586e-02
1.120000000000000076e-06 2.898084577700315093e-02 3.588104715248009724e-02
1.129999999999999981e-06 1.518044302604927044e-02 9.660281925667717554e-03
1.140000000000000097e-06 1.242036247585849573e-02 -8.280241650572329332e-03
1.150000000000000001e-06 -4.140120825286164666e-03 -9.660281925667717554e-03
1.160000000000000117e-06 -1.518044302604927044e-02 2.760080550190776444e-03
1.170000000000000021e-06 -6.900201375476941977e-03 6.900201375476941977e-03
1.179999999999999925e-06 1.104032220076310578e-02 5.520161100381552888e-03
1.190000000000000041e-06 3.036088605209854088e-02 8.280241650572329332e-03
1.199999999999999946e-06 2.898084577700315093e-02 1.794052357624004862e-02
1.210000000000000062e-06 2.484072495171699146e-02 2.898084577700315093e-02
1.219999999999999966e-06 2.622076522681237795e-02 3.450100687738470728e-02
1.230000000000000082e-06 2.898084577700315093e-02 2.898084577700315093e-02
1.239999999999999986e-06 2.898084577700315093e-02 2.346068467662160151e-02
1.250000000000000102e-06 1.932056385133543511e-02 1.932056385133543511e-02
1.260000000000000007e-06 6.900201375476941977e-03 2.208064440152621155e-02
1.270000000000000123e-06 0.000000000000000000e+00 1.518044302604927044e-02
1.280000000000000027e-06 0.000000000000000000e+00 1.380040275095388395e-02
1.289999999999999931e-06 4.140120825286164666e-03 8.280241650572329332e-03
1.300000000000000047e-06 4.140120825286164666e-03 9.660281925667717554e-03
1.309999999999999951e-06 1.380040275095388222e-03 1.656048330114465866e-02
1.320000000000000067e-06 2.760080550190776444e-03 1.656048330114465866e-02
1.329999999999999972e-06 1.104032220076310578e-02 1.656048330114465866e-02
1.340000000000000088e-06 1.794052357624004862e-02 1.794052357624004862e-02
1.349999999999999992e-06 1.794052357624004862e-02 1.932056385133543511e-02
1.360000000000000108e-06 1.932056385133543511e-02 2.898084577700315093e-02
1.370000000000000012e-06 1.518044302604927044e-02 2.760080550190776791e-02
1.380000000000000128e-06 1.656048330114465866e-02 2.622076522681237795e-02
1.390000000000000032e-06 1.380040275095388395e-02 2.208064440152621155e-02
1.399999999999999937e-06 9.660281925667717554e-03 2.208064440152621155e-02
1.410000000000000053e-06 5.520161100381552888e-03 1.794052357624004862e-02
1.419999999999999957e-06 5.520161100381552888e-03 1.932056385133543511e-02
1.430000000000000073e-06 4.140120825286164666e-03 1.518044302604927044e-02
1.439999999999999977e-06 5.520161100381552888e-03 1.380040275095388395e-02
1.450000000000000093e-06 5.520161100381552888e-03 1.380040275095388395e-02
1.459999999999999997e-06 5.520161100381552888e-03 1.794052357624004862e-02
1.470000000000000113e-06 5.520161100381552888e-03 1.794052357624004862e-02
1.480000000000000018e-06 8.280241650572329332e-03 1.932056385133543511e-02
1.490000000000000134e-06 9.660281925667717554e-03 1.656048330114465866e-02
1.500000000000000038e-06 9.660281925667717554e-03 1.794052357624004862e-02
1.509999999999999942e-06 6.900201375476941977e-03 1.794052357624004862e-02
1.520000000000000058e-06 1.794052357624004862e-02 3.036088605209854088e-02
1.529999999999999963e-06 5.106149017852936595e-02 6.348185265438786862e-02
1.540000000000000079e-06 4.278124852795703315e-02 5.796169155400630185e-02
1.549999999999999983e-06 3.726108742757548720e-02 5.796169155400630185e-02
1.560000000000000099e-06 3.036088605209854088e-02 6.072177210419708177e-02
1.570000000000000003e-06 1.380040275095388395e-02 4.830140962833859297e-02
1.580000000000000119e-06 0.000000000000000000e+00 3.726108742757548720e-02
1.590000000000000023e-06 -2.208064440152621155e-02 2.208064440152621155e-02
1.599999999999999928e-06 -3.726108742757548720e-02 6.900201375476941977e-03
1.610000000000000044e-06 -4.002116797776626017e-02 -4.140120825286164666e-03
1.619999999999999948e-06 -3.312096660228931733e-02 -4.140120825286164666e-03
1.630000000000000064e-06 -2.622076522681237795e-02 -6.900201375476941977e-03
1.639999999999999968e-06 -9.660281925667717554e-03 1.380040275095388222e-03
1.650000000000000084e-06 -6.900201375476941977e-03 5.520161100381552888e-03
1.659999999999999988e-06 -2.760080550190776791e-02 -2.070060412643082506e-02
1.670000000000000104e-06 -1.656048330114465866e-02 -1.932056385133543511e-02
1.680000000000000009e-06 -6.900201375476941977e-03 -1.242036247585849573e-02
1.690000000000000125e-06 -6.900201375476941977e-03 -1.242036247585849573e-02
1.700000000000000029e-06 4.140120825286164666e-03 -4.140120825286164666e-03
1.709999999999999933e-06 1.656048330114465866e-02 5.520161100381552888e-03
1.720000000000000049e-06 2.760080550190776791e-02 1.104032220076310578e-02
1.729999999999999953e-06 4.140120825286165013e-02 2.622076522681237795e-02
1.740000000000000069e-06 4.692136935324320302e-02 3.726108742757548720e-02
1.749999999999999974e-06 3.726108742757548720e-02 3.864112770267087021e-02
1.760000000000000090e-06 3.036088605209854088e-02 3.726108742757548720e-02
1.769999999999999994e-06 2.346068467662160151e-02 2.760080550190776791e-02
1.780000000000000110e-06 9.660281925667717554e-03 1.932056385133543511e-02
1.790000000000000014e-06 0.000000000000000000e+00 1.656048330114465866e-02
1.800000000000000130e-06 -8.280241650572329332e-03 1.104032220076310578e-02
1.810000000000000035e-06 -1.242036247585849573e-02 4.140120825286164666e-03
1.819999999999999939e-06 -5.520161100381552888e-03 5.520161100381552888e-03
1.830000000000000055e-06 2.760080550190776444e-03 9.660281925667717554e-03
1.839999999999999959e-06 6.900201375476941977e-03 1.518044302604927044e-02
1.850000000000000075e-06 1.242036247585849573e-02 1.932056385133543511e-02
1.859999999999999979e-06 1.794052357624004862e-02 2.484072495171699146e-02
1.870000000000000095e-06 1.794052357624004862e-02 2.484072495171699146e-02
1.880000000000000000e-06 2.070060412643082506e-02 2.622076522681237795e-02
1.890000000000000116e-06 1.242036247585849573e-02 2.622076522681237795e-02
1.900000000000000020e-06 5.520161100381552888e-03 2.622076522681237795e-02
1.909999999999999924e-06 2.760080550190776444e-03 2.208064440152621155e-02
1.920000000000000252e-06 0.000000000000000000e+00 1.380040275095388395e-02
1.930000000000000156e-06 -4.140120825286164666e-03 1.104032220076310578e-02
1.940000000000000060e-06 -9.660281925667717554e-03 6.900201375476941977e-03
1.949999999999999965e-06 -3.726108742757548720e-02 -2.484072495171699146e-02
1.959999999999999869e-06 -3.864112770267087021e-02 -3.036088605209854088e-02
1.970000000000000197e-06 -2.760080550190776791e-02 -2.898084577700315093e-02
1.980000000000000101e-06 -1.794052357624004862e-02 -2.346068467662160151e-02
1.990000000000000005e-06 -2.760080550190776444e-03 -8.280241650572329332e-03
1.999999999999999909e-06 3.036088605209854088e-02 2.760080550190776444e-03
2.010000000000000237e-06 1.752651149371143025e-01 1.932056385133543511e-02
2.020000000000000142e-06 4.140120825286164874e-01 5.106149017852936595e-02
2.030000000000000046e-06 5.740967544396815558e-01 7.866229568043713039e-02
2.039999999999999950e-06 6.858800167224079480e-01 9.246269843139101607e-02
2.049999999999999854e-06 8.004233595553252867e-01 9.384273870648640603e-02
2.060000000000000182e-06 8.708054135851900357e-01 5.520161100381553582e-02
2.070000000000000086e-06 8.873658968863347152e-01 3.450100687738470728e-02
2.079999999999999991e-06 8.859858566112391864e-01 3.864112770267087021e-02
2.089999999999999895e-06 8.804656955108577376e-01 3.174092632719393431e-02
2.100000000000000223e-06 8.970261788120023061e-01 1.104032220076310578e-02
2.110000000000000127e-06 9.260070245890055229e-01 -4.140120825286164666e-03
2.120000000000000031e-06 9.439475481652455091e-01 -5.520161100381552888e-03
2.129999999999999935e-06 9.522277898158180154e-01 8.280241650572329332e-03
2.139999999999999840e-06 9.618880717414854953e-01 2.346068467662160151e-02
2.150000000000000167e-06 9.812086355928211212e-01 2.760080550190776791e-02
2.160000000000000072e-06 1.007429400819633392e+00 2.346068467662160151e-02
2.169999999999999976e-06 1.015709642470205898e+00 2.898084577700315093e-02
2.179999999999999880e-06 1.011569521644919645e+00 3.588104715248009724e-02
2.190000000000000208e-06 1.000529199444156525e+00 3.726108742757548720e-02
2.200000000000000112e-06 1.003289279994347361e+00 3.450100687738470728e-02
2.210000000000000016e-06 1.004669320269442778e+00 2.484072495171699146e-02
2.219999999999999921e-06 1.000529199444156525e+00 1.380040275095388395e-02
2.230000000000000248e-06 9.908689175184887121e-01 1.380040275095388395e-02
2.240000000000000153e-06 9.881088369682979877e-01 1.932056385133543511e-02
2.250000000000000057e-06 9.922489577935842409e-01 1.656048330114465866e-02
2.259999999999999961e-06 1.004669320269442778e+00 1.656048330114465866e-02
2.269999999999999866e-06 1.008809441094728809e+00 1.656048330114465866e-02
