#time[sec] output_ch0 output_ch1
6.500000000000000235e-07 8.418245678081867633e-02 5.520161100381552888e-03
6.600000000000000337e-07 1.007429400819633558e-01 1.380040275095388395e-02
6.700000000000000438e-07 1.007429400819633558e-01 3.036088605209854088e-02
6.800000000000000539e-07 1.145433428329172415e-01 6.900201375476941977e-03
6.900000000000000641e-07 1.214435442083941635e-01 1.518044302604927044e-02
6.999999999999999683e-07 1.311038261340619071e-01 1.656048330114465866e-02
7.099999999999999785e-07 1.407641080597296090e-01 1.104032220076310578e-02
7.199999999999999886e-07 1.518044302604927009e-01 1.518044302604927044e-02
7.299999999999999987e-07 1.628447524612558206e-01 1.104032220076310578e-02
7.400000000000000089e-07 1.725050343869235225e-01 1.242036247585849573e-02
7.500000000000000190e-07 1.849253968627820321e-01 9.660281925667717554e-03
7.600000000000000291e-07 1.918255982382589819e-01 8.280241650572329332e-03
7.700000000000000393e-07 1.987257996137359317e-01 8.280241650572329332e-03
7.800000000000000494e-07 2.111461620895944136e-01 8.280241650572329332e-03
7.900000000000000595e-07 2.194264037401667533e-01 5.520161100381552888e-03
7.999999999999999638e-07 2.332268064911205974e-01 6.900201375476941977e-03
8.099999999999999739e-07 2.428870884167883271e-01 5.520161100381552888e-03
8.199999999999999841e-07 2.525473703424560568e-01 5.520161100381552888e-03
8.299999999999999942e-07 2.580675314428376166e-01 1.380040275095388222e-03
8.400000000000000043e-07 2.732479744688868784e-01 4.140120825286164666e-03
8.500000000000000145e-07 2.815282161194592181e-01 1.380040275095388222e-03
8.600000000000000246e-07 2.870483772198407779e-01 5.520161100381552888e-03
8.700000000000000347e-07 2.994687396956992598e-01 0.000000000000000000e+00
8.800000000000000449e-07 3.105090618964623794e-01 4.140120825286164666e-03
8.900000000000000550e-07 3.187893035470347192e-01 1.380040275095388222e-03
9.000000000000000652e-07 3.284495854727024211e-01 1.380040275095388222e-03
9.099999999999999694e-07 3.394899076734654852e-01 2.760080550190776444e-03
9.199999999999999795e-07 3.477701493240378250e-01 -2.760080550190776444e-03
9.299999999999999897e-07 3.574304312497055824e-01 -4.140120825286164666e-03
9.399999999999999998e-07 3.670907131753732844e-01 -4.140120825286164666e-03
9.500000000000000100e-07 3.767509951010409863e-01 -8.280241650572329332e-03
9.600000000000001260e-07 3.836511964765179639e-01 4.140120825286164666e-03
9.700000000000000302e-07 3.960715589523764457e-01 8.280241650572329332e-03
9.799999999999999345e-07 4.002116797776626433e-01 3.036088605209854088e-02
9.900000000000000505e-07 4.222923241791888271e-01 4.278124852795703315e-02
9.999999999999999547e-07 4.250524047293796071e-01 4.278124852795703315e-02
1.010000000000000071e-06 4.319526061048565291e-01 5.382157072872014586e-02
1.019999999999999975e-06 4.443729685807150109e-01 5.796169155400630185e-02
1.030000000000000091e-06 4.540332505063827129e-01 6.624193320457863465e-02
1.039999999999999995e-06 4.678336532573366680e-01 7.176209430496019448e-02
1.050000000000000111e-06 4.774939351830043144e-01 8.004233595553252034e-02
